Pair	Cnt	BinomQ	BinomP
chr16_10040000_10045000-chr16_10045000_10050000	28	0.584454	0.194249
chr16_10195000_10200000-chr16_10200000_10205000	24	0.74604	0.470507
chr16_10245000_10250000-chr16_10250000_10255000	30	0.584454	0.107036
chr16_10250000_10255000-chr16_10255000_10260000	21	0.797377	0.707369
chr16_10335000_10340000-chr16_10340000_10345000	21	0.797377	0.707369
chr16_10520000_10525000-chr16_10525000_10530000	35	0.338357	0.0154802
chr16_10685000_10690000-chr16_10690000_10695000	34	0.409264	0.0239496
chr16_10785000_10790000-chr16_10790000_10795000	26	0.643769	0.318053
chr16_10920000_10925000-chr16_10925000_10930000	31	0.544394	0.0764551
chr16_11115000_11120000-chr16_11120000_11125000	22	0.755842	0.63162
chr16_11120000_11125000-chr16_11125000_11130000	27	0.585529	0.251769
chr16_11135000_11140000-chr16_11140000_11145000	32	0.493133	0.0532414
chr16_11175000_11180000-chr16_11180000_11185000	38	0.182421	0.00362169
chr16_11180000_11185000-chr16_11185000_11190000	13	0.994145	0.990824
chr16_11525000_11530000-chr16_11530000_11535000	37	0.235963	0.00601756
chr16_11700000_11705000-chr16_11705000_11710000	35	0.338357	0.0154802
chr16_11725000_11730000-chr16_11730000_11735000	23	0.74604	0.55157
chr16_11730000_11735000-chr16_11735000_11740000	21	0.797377	0.707369
chr16_12090000_12095000-chr16_12095000_12100000	26	0.643769	0.318053
chr16_12135000_12140000-chr16_12140000_12145000	24	0.74604	0.470507
chr16_12140000_12145000-chr16_12145000_12150000	12	0.996979	0.995429
chr16_12400000_12405000-chr16_12405000_12410000	23	0.74604	0.55157
chr16_12445000_12450000-chr16_12450000_12455000	35	0.338357	0.0154802
chr16_12580000_12585000-chr16_12585000_12590000	8	1	0.999879
chr16_12690000_12695000-chr16_12695000_12700000	41	0.0755438	0.000688779
chr16_12695000_12700000-chr16_12700000_12705000	13	0.994145	0.990824
chr16_12755000_12760000-chr16_12760000_12765000	25	0.71229	0.391705
chr16_13135000_13140000-chr16_13140000_13145000	23	0.74604	0.55157
chr16_13140000_13145000-chr16_13145000_13150000	17	0.93859	0.921958
chr16_13145000_13150000-chr16_13150000_13155000	31	0.544394	0.0764551
chr16_13150000_13155000-chr16_13155000_13160000	16	0.959845	0.950148
chr16_13155000_13160000-chr16_13160000_13165000	13	0.994145	0.990824
chr16_13290000_13295000-chr16_13295000_13300000	11	0.998925	0.99789
chr16_13415000_13420000-chr16_13420000_13425000	19	0.875659	0.835154
chr16_13630000_13635000-chr16_13635000_13640000	29	0.584454	0.14606
chr16_13745000_13750000-chr16_13750000_13755000	11	0.998925	0.99789
chr16_13850000_13855000-chr16_13855000_13860000	24	0.74604	0.470507
chr16_13855000_13860000-chr16_13860000_13865000	31	0.544394	0.0764551
chr16_14200000_14205000-chr16_14205000_14210000	33	0.471737	0.0361551
chr16_14255000_14260000-chr16_14260000_14265000	20	0.838972	0.775928
chr16_14390000_14395000-chr16_14395000_14400000	18	0.907434	0.883879
chr16_14440000_14445000-chr16_14445000_14450000	19	0.875659	0.835154
chr16_14555000_14560000-chr16_14560000_14565000	37	0.235963	0.00601756
chr16_14630000_14635000-chr16_14635000_14640000	15	0.976664	0.969857
chr16_14705000_14710000-chr16_14710000_14715000	29	0.584454	0.14606
chr16_14725000_14730000-chr16_14730000_14735000	25	0.71229	0.391705
chr16_15065000_15070000-chr16_15070000_15075000	25	0.71229	0.391705
chr16_15165000_15170000-chr16_15170000_15175000	12	0.996979	0.995429
chr16_15605000_15610000-chr16_15610000_15615000	46	0.0101718	2.81215e-05
chr16_15610000_15615000-chr16_15615000_15620000	35	0.338357	0.0154802
chr16_15765000_15770000-chr16_15770000_15775000	37	0.235963	0.00601756
chr16_15825000_15830000-chr16_15830000_15835000	33	0.471737	0.0361551
chr16_16260000_16265000-chr16_16265000_16270000	37	0.235963	0.00601756
chr16_16265000_16270000-chr16_16270000_16275000	31	0.544394	0.0764551
chr16_16270000_16275000-chr16_16275000_16280000	33	0.471737	0.0361551
chr16_1655000_1660000-chr16_1660000_1665000	28	0.584454	0.194249
chr16_16855000_16860000-chr16_16860000_16865000	29	0.584454	0.14606
chr16_16920000_16925000-chr16_16925000_16930000	11	0.998925	0.99789
chr16_17105000_17110000-chr16_17110000_17115000	17	0.93859	0.921958
chr16_17165000_17170000-chr16_17170000_17175000	21	0.797377	0.707369
chr16_17170000_17175000-chr16_17175000_17180000	29	0.584454	0.14606
chr16_17235000_17240000-chr16_17240000_17245000	20	0.838972	0.775928
chr16_17330000_17335000-chr16_17335000_17340000	35	0.338357	0.0154802
chr16_17600000_17605000-chr16_17605000_17610000	23	0.74604	0.55157
chr16_17815000_17820000-chr16_17820000_17825000	24	0.74604	0.470507
chr16_17890000_17895000-chr16_17895000_17900000	10	0.99991	0.999104
chr16_17910000_17915000-chr16_17915000_17920000	23	0.74604	0.55157
chr16_17930000_17935000-chr16_17935000_17940000	27	0.585529	0.251769
chr16_17985000_17990000-chr16_17990000_17995000	34	0.409264	0.0239496
chr16_18010000_18015000-chr16_18015000_18020000	17	0.93859	0.921958
chr16_18705000_18710000-chr16_18710000_18715000	106	0	0
chr16_18790000_18795000-chr16_18795000_18800000	34	0.409264	0.0239496
chr16_19155000_19160000-chr16_19160000_19165000	15	0.976664	0.969857
chr16_19250000_19255000-chr16_19255000_19260000	23	0.74604	0.55157
chr16_19255000_19260000-chr16_19260000_19265000	21	0.797377	0.707369
chr16_19330000_19335000-chr16_19335000_19340000	22	0.755842	0.63162
chr16_19335000_19340000-chr16_19340000_19345000	11	0.998925	0.99789
chr16_19365000_19370000-chr16_19370000_19375000	6	1	0.99999
chr16_19370000_19375000-chr16_19375000_19380000	13	0.994145	0.990824
chr16_19705000_19710000-chr16_19710000_19715000	37	0.235963	0.00601756
chr16_19830000_19835000-chr16_19835000_19840000	29	0.584454	0.14606
chr16_19835000_19840000-chr16_19840000_19845000	17	0.93859	0.921958
chr16_19990000_19995000-chr16_19995000_20000000	30	0.584454	0.107036
chr16_2000000_2005000-chr16_2005000_2010000	45	0.0154786	5.55715e-05
chr16_20020000_20025000-chr16_20025000_20030000	23	0.74604	0.55157
chr16_20125000_20130000-chr16_20130000_20135000	16	0.959845	0.950148
chr16_2020000_2025000-chr16_2025000_2030000	39	0.139035	0.00213013
chr16_20435000_20440000-chr16_20440000_20445000	15	0.976664	0.969857
chr16_20855000_20860000-chr16_20860000_20865000	17	0.93859	0.921958
chr16_21240000_21245000-chr16_21245000_21250000	26	0.643769	0.318053
chr16_2125000_2130000-chr16_2130000_2135000	53	0.000170001	1.3904e-07
chr16_2130000_2135000-chr16_2135000_2140000	49	0.00185236	3.23628e-06
chr16_2205000_2210000-chr16_2210000_2215000	42	0.0522248	0.000378964
chr16_22250000_22255000-chr16_22255000_22260000	31	0.544394	0.0764551
chr16_22715000_22720000-chr16_22720000_22725000	18	0.907434	0.883879
chr16_22770000_22775000-chr16_22775000_22780000	29	0.584454	0.14606
chr16_22775000_22780000-chr16_22780000_22785000	37	0.235963	0.00601756
chr16_23310000_23315000-chr16_23315000_23320000	22	0.755842	0.63162
chr16_23370000_23375000-chr16_23375000_23380000	25	0.71229	0.391705
chr16_23450000_23455000-chr16_23455000_23460000	24	0.74604	0.470507
chr16_23810000_23815000-chr16_23815000_23820000	24	0.74604	0.470507
chr16_24015000_24020000-chr16_24020000_24025000	25	0.71229	0.391705
chr16_2405000_2410000-chr16_2410000_2415000	35	0.338357	0.0154802
chr16_24080000_24085000-chr16_24085000_24090000	29	0.584454	0.14606
chr16_24175000_24180000-chr16_24180000_24185000	21	0.797377	0.707369
chr16_24220000_24225000-chr16_24225000_24230000	30	0.584454	0.107036
chr16_24225000_24230000-chr16_24230000_24235000	18	0.907434	0.883879
chr16_24230000_24235000-chr16_24235000_24240000	22	0.755842	0.63162
chr16_24455000_24460000-chr16_24460000_24465000	16	0.959845	0.950148
chr16_24665000_24670000-chr16_24670000_24675000	18	0.907434	0.883879
chr16_25035000_25040000-chr16_25040000_25045000	13	0.994145	0.990824
chr16_25125000_25130000-chr16_25130000_25135000	46	0.0101718	2.81215e-05
chr16_25375000_25380000-chr16_25380000_25385000	15	0.976664	0.969857
chr16_25410000_25415000-chr16_25415000_25420000	12	0.996979	0.995429
chr16_25415000_25420000-chr16_25420000_25425000	17	0.93859	0.921958
chr16_25420000_25425000-chr16_25425000_25430000	13	0.994145	0.990824
chr16_2545000_2550000-chr16_2550000_2555000	34	0.409264	0.0239496
chr16_25465000_25470000-chr16_25470000_25475000	17	0.93859	0.921958
chr16_2550000_2555000-chr16_2555000_2560000	14	0.987447	0.982825
chr16_25570000_25575000-chr16_25575000_25580000	21	0.797377	0.707369
chr16_25605000_25610000-chr16_25610000_25615000	21	0.797377	0.707369
chr16_2575000_2580000-chr16_2580000_2585000	21	0.797377	0.707369
chr16_25910000_25915000-chr16_25915000_25920000	28	0.584454	0.194249
chr16_25915000_25920000-chr16_25920000_25925000	53	0.000170001	1.3904e-07
chr16_25980000_25985000-chr16_25985000_25990000	19	0.875659	0.835154
chr16_25985000_25990000-chr16_25990000_25995000	26	0.643769	0.318053
chr16_26185000_26190000-chr16_26190000_26195000	4	1	1
chr16_2645000_2650000-chr16_2650000_2655000	21	0.797377	0.707369
chr16_26475000_26480000-chr16_26480000_26485000	17	0.93859	0.921958
chr16_26545000_26550000-chr16_26550000_26555000	19	0.875659	0.835154
chr16_26640000_26645000-chr16_26645000_26650000	11	0.998925	0.99789
chr16_27045000_27050000-chr16_27050000_27055000	20	0.838972	0.775928
chr16_27050000_27055000-chr16_27055000_27060000	21	0.797377	0.707369
chr16_27090000_27095000-chr16_27095000_27100000	15	0.976664	0.969857
chr16_27330000_27335000-chr16_27335000_27340000	33	0.471737	0.0361551
chr16_27335000_27340000-chr16_27340000_27345000	27	0.585529	0.251769
chr16_2745000_2750000-chr16_2750000_2755000	33	0.471737	0.0361551
chr16_27755000_27760000-chr16_27760000_27765000	36	0.282221	0.00976708
chr16_27810000_27815000-chr16_27815000_27820000	30	0.584454	0.107036
chr16_27815000_27820000-chr16_27820000_27825000	39	0.139035	0.00213013
chr16_27850000_27855000-chr16_27855000_27860000	25	0.71229	0.391705
chr16_28005000_28010000-chr16_28010000_28015000	30	0.584454	0.107036
chr16_28010000_28015000-chr16_28015000_28020000	22	0.755842	0.63162
chr16_28050000_28055000-chr16_28055000_28060000	24	0.74604	0.470507
chr16_28130000_28135000-chr16_28135000_28140000	49	0.00185236	3.23628e-06
chr16_2820000_2825000-chr16_2825000_2830000	51	0.000566358	6.95905e-07
chr16_2855000_2860000-chr16_2860000_2865000	30	0.584454	0.107036
chr16_28580000_28585000-chr16_28585000_28590000	54	9.00421e-05	6.05052e-08
chr16_2860000_2865000-chr16_2865000_2870000	33	0.471737	0.0361551
chr16_29135000_29140000-chr16_29140000_29145000	40	0.104608	0.00122482
chr16_29255000_29260000-chr16_29260000_29265000	29	0.584454	0.14606
chr16_29260000_29265000-chr16_29265000_29270000	22	0.755842	0.63162
chr16_29295000_29300000-chr16_29300000_29305000	40	0.104608	0.00122482
chr16_29900000_29905000-chr16_29905000_29910000	23	0.74604	0.55157
chr16_29905000_29910000-chr16_29910000_29915000	38	0.182421	0.00362169
chr16_29940000_29945000-chr16_29945000_29950000	45	0.0154786	5.55715e-05
chr16_29955000_29960000-chr16_29960000_29965000	17	0.93859	0.921958
chr16_30345000_30350000-chr16_30350000_30355000	38	0.182421	0.00362169
chr16_30350000_30355000-chr16_30355000_30360000	27	0.585529	0.251769
chr16_30585000_30590000-chr16_30590000_30595000	40	0.104608	0.00122482
chr16_30760000_30765000-chr16_30765000_30770000	61	3.04988e-07	1.11254e-10
chr16_30810000_30815000-chr16_30815000_30820000	28	0.584454	0.194249
chr16_30815000_30820000-chr16_30820000_30825000	24	0.74604	0.470507
chr16_3090000_3095000-chr16_3095000_3100000	44	0.0233441	0.000107602
chr16_30975000_30980000-chr16_30980000_30985000	21	0.797377	0.707369
chr16_31000000_31005000-chr16_31005000_31010000	29	0.584454	0.14606
chr16_31005000_31010000-chr16_31010000_31015000	39	0.139035	0.00213013
chr16_31255000_31260000-chr16_31260000_31265000	41	0.0755438	0.000688779
chr16_31295000_31300000-chr16_31300000_31305000	15	0.976664	0.969857
chr16_31375000_31380000-chr16_31380000_31385000	12	0.996979	0.995429
chr16_31380000_31385000-chr16_31385000_31390000	24	0.74604	0.470507
chr16_31385000_31390000-chr16_31390000_31395000	20	0.838972	0.775928
chr16_31440000_31445000-chr16_31445000_31450000	22	0.755842	0.63162
chr16_31560000_31565000-chr16_31565000_31570000	17	0.93859	0.921958
chr16_31565000_31570000-chr16_31570000_31575000	13	0.994145	0.990824
chr16_31625000_31630000-chr16_31630000_31635000	8	1	0.999879
chr16_31850000_31855000-chr16_31855000_31860000	39	0.139035	0.00213013
chr16_31930000_31935000-chr16_31935000_31940000	34	0.409264	0.0239496
chr16_31935000_31940000-chr16_31940000_31945000	16	0.959845	0.950148
chr16_31940000_31945000-chr16_31945000_31950000	20	0.838972	0.775928
chr16_3260000_3265000-chr16_3265000_3270000	27	0.585529	0.251769
chr16_32630000_32635000-chr16_32635000_32640000	31	0.544394	0.0764551
chr16_33615000_33620000-chr16_33620000_33625000	37	0.235963	0.00601756
chr16_33875000_33880000-chr16_33880000_33885000	5	1	0.999998
chr16_34350000_34355000-chr16_34355000_34360000	10	0.99991	0.999104
